Rad,Pearson's corr
0mi,0.02129207
0.6mi,0.05825384
1.9mi,0.11261308
3.1mi,0.08690930
4.3mi,0.07697362
6.2mi,0.06289983
10mi,0.10288682
12.4mi,0.12321383
18.6mi,0.17718536
