ActTr,popul_1.9mi
524.00,8581.00
336.00,11594.00
739.00,11280.00
484.00,13989.00
863.00,11126.00
899.00,18942.00
968.00,12709.00
1207.00,21646.00
1357.00,21451.00
573.00,25610.00
1234.00,30307.00
2347.00,31913.00
261.00,958.00
481.00,4193.00
500.00,4165.00
591.00,5116.00
