Head pen rate
0.53
0.402
0.666
0.496
0.328
0.444
0.401
0.415
0.331
0.404
1.85
1.407
1.313
0.469
0.336
0.509
0.621
0.943
1.089
0.86
1.075
1.217
0.481
0.575
0.67
0.488
0.368
0.429
0.549
1.51
0.436
0.529
0.593
0.463
0.329
1.864
0.364
1.756
0.694
0.479
0.734
0.449
1.519
0.576
0.324
0.448
0.486
0.61
0.425
0.465
1.434
0.673
1.873
0.43
0.344
0.506
0.418
0.378
0.717
0.707
0.392
0.428
0.421
1.702
0.59
0.503
0.455
0.454
0.372
0.37
1.3
0.542
2.091
0.33
0.831
0.585
0.415
0.394
0.34
0.739
0.48
0.473
0.367
3.154
1.006
1.25
0.426
0.979
0.407
0.35
0.533
0.352
0.507
4.45
2.82
0.39
0.498
0.347
0.699
0.493
0.365
0.37
2.23
0.497
0.373
0.938
0.337
1.922
0.394
0.484
1.108
0.602
0.334
0.357
0.436
0.54
0.341
0.885
0.674
0.628
2.812
2.082
2.812
2.082
1.078
1.072
1.34
0.35
0.329
0.325
0.355
0.729
0.458
0.342
0.486
0.36
2.812
2.082
0.429
0.336
1.162
0.489
1.671
0.555
0.774
1.104
0.592
0.326
1.55
0.458
0.346
0.324
0.341
0.417
0.957
0.82
0.517
4.191
3.515
4.191
3.515
0.345
0.437
0.328
0.414
0.329
0.349
0.669
2.574
2.22
0.424
0.382
0.539
0.389
0.342
0.409
0.33
0.328
0.448
0.494
0.58
0.338
0.481
0.345
4.191
3.515
0.423
0.328
0.326
0.396
0.427
0.646
1.026
0.557
0.805
0.33
0.342
0.564
0.351
0.592
0.324
0.445
2.967
0.445
2.967
0.535
0.391
0.802
3.504
2.01
0.38
0.331
0.573
0.376
0.336
0.634
0.629
0.519
0.385
0.336
0.445
2.967
0.343
1.821
0.538
0.351
0.619
3.363
2.876
0.335
3.363
2.876
0.331
1.258
0.427
0.548
0.322
1.174
0.347
1.377
1.895
0.912
0.374
0.396
0.325
0.339
0.349
0.391
0.329
0.399
0.399
3.363
2.876
0.598
0.332
0.373
5.495
3.257
5.495
3.257
0.419
0.432
0.323
0.42
0.703
1.431
1.008
0.409
0.334
0.415
0.569
0.374
0.43
0.346
0.474
5.495
3.257
0.453
0.596
0.348
6.088
3.219
6.088
3.219
0.48
1.274
0.544
0.912
0.387
1.754
0.935
0.34
0.459
0.379
0.464
6.088
3.219
0.365
0.431
0.324
1.908
1.375
1.375
1.908
0.776
1.162
0.481
2.826
0.359
1.398
0.331
0.325
1.462
0.519
0.353
0.646
0.371
0.396
1.375
1.908
0.343
0.665
2.623
5.295
2.623
5.295
0.382
0.397
3.754
0.454
0.449
0.434
0.541
0.489
2.623
5.295
0.395
0.401
0.459
4.631
2.412
4.631
2.412
0.332
0.326
0.448
0.342
0.337
4.631
2.412
0.378
0.487
2.516
1.63
2.516
1.63
0.387
0.724
2.516
1.63
0.386
0.447
0.935
4.396
2.602
4.396
2.602
0.613
0.334
0.551
0.405
0.378
0.475
1.009
0.321
